"start"	"estimate"	"p.value"	"sig"
4	-0.00283310517308173	0.798040874016287	"non-sig"
5	-0.00283310517308173	0.798040874016287	"non-sig"
6	-0.0373356905222316	0.00074274659096258	"is-sig"
7	-0.0373356905222316	0.00074274659096258	"is-sig"
8	-0.0373356905222316	0.00074274659096258	"is-sig"
9	-0.0373356905222316	0.00074274659096258	"is-sig"
10	-0.0551449899042433	6.2145868835329e-07	"is-sig"
11	-0.0551449899042433	6.2145868835329e-07	"is-sig"
19	0.018874810476959	0.0882124050139549	"non-sig"
20	0.018874810476959	0.0882124050139549	"non-sig"
21	0.018874810476959	0.0882124050139549	"non-sig"
22	0.018874810476959	0.0882124050139549	"non-sig"
23	0.018874810476959	0.0882124050139549	"non-sig"
24	0.018874810476959	0.0882124050139549	"non-sig"
27	0.0417881268613128	0.000159427063660552	"is-sig"
28	0.0417881268613128	0.000159427063660552	"is-sig"
29	0.0417881268613128	0.000159427063660552	"is-sig"
30	0.0417881268613128	0.000159427063660552	"is-sig"
31	0.0417881268613128	0.000159427063660552	"is-sig"
32	0.039408924831062	0.000369792678185873	"is-sig"
33	0.0511175757344948	3.8392048441325e-06	"is-sig"
34	0.0511175757344948	3.8392048441325e-06	"is-sig"
35	0.0511175757344948	3.8392048441325e-06	"is-sig"
36	0.0511175757344948	3.8392048441325e-06	"is-sig"
37	0.0511175757344948	3.8392048441325e-06	"is-sig"
38	0.00321157731551978	0.771765124277489	"non-sig"
39	-0.0848655325403756	1.60566759194644e-14	"is-sig"
40	-0.0589591531225132	9.83419832176144e-08	"is-sig"
41	-0.0589591531225132	9.83419832176144e-08	"is-sig"
42	-0.0589591531225132	9.83419832176144e-08	"is-sig"
43	-0.030999111079852	0.00510269928403374	"is-sig"
44	-0.0206363390051174	0.0623147532763531	"non-sig"
45	0.0241017506403441	0.02946868037342	"is-sig"
46	0.0875692072351499	2.29289814055015e-15	"is-sig"
47	0.105410670759978	1.33273216376732e-21	"is-sig"
48	0.101378444323603	4.30907184338584e-20	"is-sig"
49	0.0954781670482967	5.46447994256774e-18	"is-sig"
50	0.0900882144220912	3.54275697948116e-16	"is-sig"
51	0.0900882144220912	3.54275697948116e-16	"is-sig"
52	0.0642392400422998	6.32176907928179e-09	"is-sig"
53	0.0244600919960517	0.0271371968237644	"is-sig"
54	0.0327762676121066	0.00306531149328711	"is-sig"
55	-0.00338934914528842	0.759510922996323	"non-sig"
56	-0.00458599178626578	0.678724845976647	"non-sig"
57	-0.00458599178626578	0.678724845976647	"non-sig"
58	-0.0143942563777562	0.193552832959372	"non-sig"
59	-0.00448847210196961	0.685186587958343	"non-sig"
60	-0.000271676800277161	0.98042383640503	"non-sig"
61	0.0020076022129836	0.856112825291174	"non-sig"
62	0.0243442518144277	0.0278728440315643	"is-sig"
63	0.0243442518144277	0.0278728440315643	"is-sig"
64	0.0279347904287079	0.0116182683493899	"is-sig"
65	0.0282892637878926	0.010601524520317	"is-sig"
66	0.0340478492077848	0.00209758875676548	"is-sig"
67	0.0526184092124559	1.97730343835306e-06	"is-sig"
68	0.0326188778395521	0.00320992952796855	"is-sig"
69	0.0126689560618231	0.252502628130895	"non-sig"
70	0.0199372490077857	0.0717203808662103	"non-sig"
71	-0.0103110315206299	0.351695521980594	"non-sig"
72	-0.0377389402400011	0.00065021646618238	"is-sig"
73	-0.0640146126774688	7.13717662968074e-09	"is-sig"
74	-0.0867642418382395	4.11884738040904e-15	"is-sig"
75	-0.0347079842451552	0.00171426391401536	"is-sig"
76	-0.0347079842451552	0.00171426391401536	"is-sig"
77	-0.008693111301581	0.432355715241591	"non-sig"
78	-0.0313690522587749	0.0045981558210512	"is-sig"
79	-0.0418318345785958	0.000156917264470372	"is-sig"
80	-0.0424736122848572	0.000124090536704719	"is-sig"
81	-0.0552162752637288	6.01049429015331e-07	"is-sig"
82	-0.0629853319683462	1.23792825923364e-08	"is-sig"
83	-0.0300136115749385	0.00669984219236966	"is-sig"
84	-0.0179112571306456	0.105693969256092	"non-sig"
85	-0.00613442926795074	0.579537789962097	"non-sig"
86	0.00845634693991889	0.444997501274646	"non-sig"
87	0.00845634693991889	0.444997501274646	"non-sig"
88	0.0195540431237511	0.0773508764944695	"non-sig"
89	-0.00438924379410471	0.691785263207924	"non-sig"
90	0.0300674259462209	0.00660219903009199	"is-sig"
91	0.0641414149389426	6.66508715095018e-09	"is-sig"
92	0.0376633885921125	0.000666692227256316	"is-sig"
93	0.0343960819175477	0.00188654624327308	"is-sig"
94	0.0544648853869472	8.5287837271377e-07	"is-sig"
